
 Lista de Imóveis da Caixa;;Data de geração:;26/07/2024;;;;;;;
 8787703352974 ;SP ;SAO PAULO ;JARDIM IRIS ;AVENIDA APARECIDA DO RIO NEGRO, N. 487, Apto 1303, TORRE 01 VAGA 103 TIPO P ;222.400,00;278.000,00;20.00;Apartamento, 0.00 de área total, 43.74 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703352974
 10171657 ;SP ;SAO PAULO ;PIRITUBA ;RUA WILLIAM FURNEAU, N. 200, Apto 54 ;740.000,00;925.000,00;20.00;Apartamento, 0.00 de área total, 107.04 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171657
 1555531492294 ;SP ;SAO PAULO ;PARAISOPOLIS ;RUA JOAO AVELINO PINHO MELLAO, N. 140, Apto 93, PAVIMENTO 9 ;208.000,00;260.000,00;20.00;Apartamento, 0.00 de área total, 51.77 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555531492294
 1444413570773 ;SP ;SAO PAULO ;REPUBLICA ;RUA VINTE E QUATRO DE MAIO, N. 188, SALA 101 ;218.400,00;273.000,00;20.00;Sala, 0.00 de área total, 57.25 de área privativa, 0.00 de área do terreno, 1 sala(s), 2 lavabo(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413570773
 1600000048856 ;SP ;SAO PAULO ;TATUAPE ;RUA SERRA DE BRAGANCA, N. 791, Apto 1304 ;722.400,00;903.000,00;20.00;Apartamento, 0.00 de área total, 93.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, Terraco.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1600000048856
 1444413907972 ;SP ;SAO PAULO ;SANTANA ;RUA PEDRO DOLL, N. 309, Apto 132, VAGAS 09 E 10 ;620.000,00;775.000,00;20.00;Apartamento, 0.00 de área total, 87.67 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413907972
 1444406848630 ;SP ;SAO PAULO ;SUMAREZINHO ;RUA PURPURINA, N. 390, Apto 66 ;416.000,00;520.000,00;20.00;Apartamento, 0.00 de área total, 35.42 de área privativa, 0.00 de área do terreno, WC, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406848630
 8787706319617 ;SP ;SAO PAULO ;JARDIM MATARAZZO ;RUA FIGUEIRA DA POLINESIA, N. 825, Apto 61, BL 04 ;175.440,86;217.872,07;19.48;Apartamento, 0.00 de área total, 41.56 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706319617
 10174422 ;SP ;SAO PAULO ;JARDIM SANTO ELIAS ;AVENIDA MUTINGA, N. 3180 ;1.254.947,00;1.480.000,00;15.21;Galpão, 0.00 de área total, 384.00 de área privativa, 384.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10174422
 1444406340504 ;SP ;SAO PAULO ;JARDIM MONTE KEMEL ;RUA EDMUNDO DE AMICIS, N. 169 ;340.000,00;400.000,00;15.00;Casa, 0.00 de área total, 80.00 de área privativa, 107.62 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406340504
 1444403283534 ;SP ;SAO PAULO ;VILA SAO DOMINGOS ;RUA JOAO PESSOA DE QUEIROS SOBRINHO, N. 23, CS 01, 13 SUBDISTRITO BUTANTA ;323.000,00;380.000,00;15.00;Casa, 0.00 de área total, 62.69 de área privativa, 76.86 de área do terreno,  1 qto(s), 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403283534
 8787707289452 ;SP ;SAO PAULO ;BRAS ;RUA VISCONDE DE PARNAIBA, N. 1156, Apto 712, TORRE 4 ;176.064,45;207.000,00;14.95;Apartamento, 0.00 de área total, 26.50 de área privativa, 0.00 de área do terreno,  1 qto(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707289452
 1555520784752 ;SP ;SAO PAULO ;VILA CURUCA ;RUA GAROPA, N. 91, CS 19 ;261.923,86;300.000,00;12.70;Casa, 0.00 de área total, 60.10 de área privativa, 113.24 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555520784752
 8444416653317 ;SP ;SAO PAULO ;VILA NOVA CURUCA ;RUA PEDRO DE CAMPOS TOURINHO, N. 45, Apto 3, BL C,  DISTR SMIGUEL PAULISTA ;165.619,15;185.000,00;10.48;Apartamento, 0.00 de área total, 42.18 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416653317
 1444415724891 ;SP ;SAO PAULO ;PARQUE SAO JORGE ;RUA SAO JORGE, N. 300, Apto 211, 21 A ;1.260.000,00;1.400.000,00;10.00;Apartamento, 0.00 de área total, 123.50 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 2 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415724891
 1444414074141 ;SP ;SAO PAULO ;VILA CURUCA ;AVENIDA COCA, N. 41 A ;1.143.000,00;1.270.000,00;10.00;Casa, 0.00 de área total, 250.00 de área privativa, 530.00 de área do terreno,  4 qto(s), 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414074141
 1444403080579 ;SP ;SAO PAULO ;VILA ARRIETE ;RUA ELYDIO RODRIGUES NUNES, N. 334 ;482.400,00;536.000,00;10.00;Casa, 0.00 de área total, 118.82 de área privativa, 164.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403080579
 1555535405124 ;SP ;SAO PAULO ;JARDIM IPANEMA (ZONA OESTE) ;AVENIDA ALEXIOS JAFET, N. 555, Apto 4, TORRE 2 ;166.410,89;183.000,00;9.07;Apartamento, 0.00 de área total, 38.72 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555535405124
 1444407742924 ;SP ;SAO PAULO ;VILA PREL ;ESTRADA DE ITAPECERICA, N. 3250, Apto 53, 0 ;281.268,98;306.000,00;8.09;Apartamento, 0.00 de área total, 63.10 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407742924
 8555521829030 ;SP ;SAO PAULO ;VILA CHABILANDIA ;RUA CRUZ DO ESPIRITO SANTO, N. 1026, Apto 22, BL 9 ;142.952,17;154.000,00;7.18;Apartamento, 0.00 de área total, 39.57 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555521829030
 8787704774554 ;SP ;SAO PAULO ;JARDIM ESMERALDA ;RUA SAVERIO QUADRO, N. 615, Apto 502, BLOCO 39 ;208.764,12;224.000,00;6.81;Apartamento, 0.00 de área total, 43.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704774554
 1444407150334 ;SP ;SAO PAULO ;JARDIM UMUARAMA ;AVENIDA INTERLAGOS, N. 1585, Apto 76, TORRE ALPHA III BL C ;501.233,81;536.000,00;6.49;Apartamento, 0.00 de área total, 67.18 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407150334
 8555536253652 ;SP ;SAO PAULO ;JARDIM SAO PAULOZONA ;RUA CUSTODIO PAIVA, N. 205, Apto 44, BL10 ;168.503,69;180.000,00;6.39;Apartamento, 0.00 de área total, 38.72 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536253652
 8555534992849 ;SP ;SAO PAULO ;JARDIM DO DIVINO ;RUA MOREIRA NETO, N. 456, Apto 14, BL E ;164.948,30;175.000,00;5.75;Apartamento, 0.00 de área total, 52.29 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534992849
 8787705282760 ;SP ;SAO PAULO ;JARDIM BOA VISTA ZON ;RUA  KENKITI SHIMOMOTO, N. 1600, Apto 68, BLOCO 05 ;199.154,56;209.000,00;4.72;Apartamento, 0.00 de área total, 41.56 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705282760
 10161393 ;SP ;SAO PAULO ;LIMAO ;AVENIDA NOSSA SENHORA DO O, N. 865, SL 505, 7 ANDAR ;230.356,49;240.673,03;4.29;Sala, 0.00 de área total, 31.84 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10161393
 10171946 ;SP ;SAO PAULO ;BELA VISTA ;RUA SAO CARLOS DO PINHAL, N. 79, Apto 21, BL A ;1.043.927,00;1.064.000,00;1.89;Apartamento, 0.00 de área total, 149.10 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171946
 1444408689040 ;SP ;SAO PAULO ;VILA PROGRESSO ZONA ;RUA CECILIA ITER, N. 385, CS 08 ;300.000,00;300.000,00;0.00;Casa, 0.00 de área total, 60.92 de área privativa, 62.56 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408689040
 1555526087786 ;SP ;SAO PAULO ;PARQUE VERDE ;RUA SETTIMO GIANNINI, N. 600, Apto 704, TORRE 2 ;264.000,00;264.000,00;0.00;Apartamento, 0.00 de área total, 44.42 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555526087786
 1555532530998 ;SP ;SAO PAULO ;VILA AMALIA ZONA NOR ;RUA DOMINGOS JOSE SAPIENZA, N. 101, Apto 16, TORRE B ;388.000,00;388.000,00;0.00;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532530998
 1787700204950 ;SP ;SAO PAULO ;JARDIM SAO SAVERIO ;AVENIDA DOS OURIVES, N. 780, Apto 58, TORRE 03 ;246.000,00;246.000,00;0.00;Apartamento, 0.00 de área total, 40.61 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700204950
 1787700432219 ;SP ;SAO PAULO ;7 DISTRITO  CONSOLAC ;RUA ALVARO DE CARVALHO, N. 163, Apto 1504, TIPO Q3 ;352.000,00;352.000,00;0.00;Apartamento, 0.00 de área total, 22.75 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700432219
 8407100665310 ;SP ;SAO PAULO ;JARDIM ALVORADA ZONA ;RUA JOAO GUILHERME, N. 431, CASA 106 ;415.000,00;415.000,00;0.00;Casa, 0.00 de área total, 74.80 de área privativa, 71.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8407100665310
 8444402745540 ;SP ;SAO PAULO ;JARDIM SANTA TEREZIN ;RUA MARINHO ARCANJO DOS SANTOS, N. 104, Apto 11B, BL 19B ;147.000,00;147.000,00;0.00;Apartamento, 0.00 de área total, 45.34 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402745540
 8444414944918 ;SP ;SAO PAULO ;JARDIM JAU ZONA LEST ;RUA BERNARDINO VERGUEIRO, N. 140, Apto 41, TORRE II ;265.000,00;265.000,00;0.00;Apartamento, 0.00 de área total, 49.88 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414944918
 8444415198330 ;SP ;SAO PAULO ;CJ HAB TEOTONIO VILE ;RUA SIMPLICIANO OLIVO, N. 50, Apto 12-B, 1 PAVIMENTO ;167.000,00;167.000,00;0.00;Apartamento, 0.00 de área total, 40.61 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415198330
 8555500177735 ;SP ;SAO PAULO ;CONJ HAB TEOTONIO VI ;RUA ESQUIVEL NAVARRO, N. 2190, Apto 11-B, . ;127.000,00;127.000,00;0.00;Apartamento, 0.00 de área total, 40.61 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555500177735
 8555504173556 ;SP ;SAO PAULO ;DISTRITO DE ITAQUERA ;AVENIDA RAGUEB CHOHFI, N. 880, Apto 114, TORRE 01 ;239.000,00;239.000,00;0.00;Apartamento, 0.00 de área total, 49.86 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555504173556
 8555506183982 ;SP ;SAO PAULO ;CONJ HAB JUSCELINO ;R UTARO KANAI, N. 755, Apto 54-C, . ;155.000,00;155.000,00;0.00;Apartamento, 0.00 de área total, 41.18 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555506183982
 8555519867273 ;SP ;SAO PAULO ;DISTRITO DE ITAQUERA ;AV RAGUEB CHOHFI, N. 880, Apto 36, TORRE 01 ;282.000,00;282.000,00;0.00;Apartamento, 0.00 de área total, 49.86 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519867273
 8787705775295 ;SP ;SAO PAULO ;JARDIM DA LARANJEIRA ;RUA PEDRA BRANCA DO AMAPARI, N. 139, Apto A10, TORRE 03 ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 49.58 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705775295
 8787705866010 ;SP ;SAO PAULO ;COLONIA ZONA LESTE ;RUA PROFESSOR HASEGAWA, N. 914, Apto 14, BL K ;228.000,00;228.000,00;0.00;Apartamento, 0.00 de área total, 37.67 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705866010
 8787706423848 ;SP ;SAO PAULO ;GUAIANAZES ;RUA PEDRA BRANCA DO AMAPARI, N. 139, Apto B05,  TORRE 02 ;154.000,00;154.000,00;0.00;Apartamento, 0.00 de área total, 49.58 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706423848
 8787706707544 ;SP ;SAO PAULO ;JARDIM DA LARANJEIRA ;RUA PEDRA BRANCA DO AMAPARI, N. 139, Apto 208, TORRE 2 ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 49.58 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706707544
 8787707613977 ;SP ;SAO PAULO ;COLONIA ZONA LESTE ;RUA AGRIMENSOR SUGAYA, N. 1210, Apto 15, BL 05 ;218.000,00;218.000,00;0.00;Apartamento, 0.00 de área total, 41.56 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707613977
 8787708013639 ;SP ;SAO PAULO ;JARDIM BRASILIA ZONA ;AVENIDA OSVALDO VALLE CORDEIRO, N. 1240, Apto 137, TORRE 02 ;230.000,00;230.000,00;0.00;Apartamento, 0.00 de área total, 41.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708013639
 8787708269633 ;SP ;SAO PAULO ;JARDIM DA LARANJEIRA ;RUA PEDRA BRANCA DO AMAPARI, N. 16, Apto 104, TORRE 02 ;159.000,00;159.000,00;0.00;Apartamento, 0.00 de área total, 49.58 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708269633
 8787709385300 ;SP ;SAO PAULO ;COLONIA ZONA LESTE ;RUA PROFESSOR HASEGAWA, N. 798, Apto 13, TORRE J ;192.000,00;192.000,00;0.00;Apartamento, 0.00 de área total, 37.67 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709385300
 8787709404615 ;SP ;SAO PAULO ;GUAIANAZES ;RUA AURORA DO TOCANTINS, N. 311, Apto 316, TORRE 02 ;150.000,00;150.000,00;0.00;Apartamento, 0.00 de área total, 49.58 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709404615
 8787705629396 ;SP ;SAO PAULO ;ALTO DA MOOCA ;RUA QUIXADA, N. 60, Apto 909, PV 9 ;240.000,00;240.000,00;0.00;Apartamento, 0.00 de área total, 38.07 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705629396
 8444400948010 ;SP ;SAO PAULO ;AMERICANOPOLIS ;RUA SIMAO RODRIGUES, N. 228, . ;420.000,00;420.000,00;0.00;Casa, 0.00 de área total, 102.00 de área privativa, 117.12 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400948010
 8787703740990 ;SP ;SAO PAULO ;AMERICANOPOLIS ;AVENIDA ENG ARMANDO DE ARRUDA PEREIRA, N. 5271, Apto 41, BL 02 ;254.000,00;254.000,00;0.00;Apartamento, 0.00 de área total, 38.69 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703740990
 8787708653557 ;SP ;SAO PAULO ;CAMPININHA ;AVENIDA CUPECE, N. 1808, Apto 808, TORRE B ;228.000,00;228.000,00;0.00;Apartamento, 0.00 de área total, 27.71 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708653557
 1600000041827 ;SP ;SAO PAULO ;BROOKLIN PAULISTA ; A PORTUGAL, N. 1048, 203, ;1.625.000,00;1.625.000,00;0.00;Apartamento, 0.00 de área total, 138.01 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1600000041827
 8787707109241 ;SP ;SAO PAULO ;CAPAO REDONDO ;RUA CABO ESTACIO DA CONCEICAO, N. 590, Apto 1502, TORRE 1 SUBCONDOMINIO 2 ;240.000,00;240.000,00;0.00;Apartamento, 0.00 de área total, 37.89 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707109241
 1444409533079 ;SP ;SAO PAULO ;BRAS ;AVENIDA CELSO GARCIA, N. 1907, Apto 14,  ED 2 JASMIM ;353.812,25;353.812,25;0.00;Apartamento, 0.00 de área total, 54.81 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409533079
 8787710263876 ;SP ;SAO PAULO ;BRAS ;RUA FLORA, N. 123, Apto 309, . ;275.000,00;275.000,00;0.00;Apartamento, 0.00 de área total, 35.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710263876
 8787711648224 ;SP ;SAO PAULO ;BRAS ;RUA FLORA, N. 123, Apto 209, . ;284.000,00;284.000,00;0.00;Apartamento, 0.00 de área total, 35.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711648224
 8787711751661 ;SP ;SAO PAULO ;BRAS ;RUA FLORA, N. 123, Apto 1713, . ;279.000,00;279.000,00;0.00;Apartamento, 0.00 de área total, 36.63 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711751661
 8555529898252 ;SP ;SAO PAULO ;CAMBUCI ;RUA LUIS GAMA, N. 730, Apto 24, . ;297.000,00;297.000,00;0.00;Apartamento, 0.00 de área total, 30.00 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555529898252
 8555538022186 ;SP ;SAO PAULO ;CAMBUCI ;RUA DO LAVAPES, N. 410, Apto 612, SETOR RESIDENCIAL ;319.400,00;319.400,00;0.00;Apartamento, 0.00 de área total, 35.05 de área privativa, 0.00 de área do terreno,  1 qto(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538022186
 8787705168372 ;SP ;SAO PAULO ;CAMBUCI ;RUA DOS LAVAPES, N. 463, Apto 23, BL A ;270.000,00;270.000,00;0.00;Apartamento, 0.00 de área total, 35.98 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705168372
